frst_next_dstn_nm,dstn_coord_x,dstn_coord_y,vst_cnt,sum_stay_min,second_dstn_addr,second_dstn_x,second_dstn_y,영역 구분,목적지 구분
효사랑가족요양병원,127.49682863286772,36.1008166030129,5,286.1111111111111,,,,0,2차 목적지
KT인재개발원,127.50122731090528,36.10015034144786,5,469.16666666666674,,,,0,2차 목적지
충청남도역사박물관,127.49682863286772,36.1008166030129,5,167.45833333333334,,,,0,2차 목적지
태고사,127.50122731090528,36.10015034144786,5,834.85,,,,0,2차 목적지
금산수삼시장,127.50122731090528,36.10015034144786,5,683.6833333333333,,,,0,2차 목적지
금산양조장,127.49682863286772,36.1008166030129,5,1155.8166666666668,,,,0,2차 목적지
블루베리펜션,127.50122731090528,36.10015034144786,5,482.2833333333333,,,,0,2차 목적지
드리오리/갈마동지점,127.50122731090528,36.10015034144786,5,1509.5625,,,,0,2차 목적지
리치베로니마트,127.498094564583,36.1005729437636,5,65.125,,,,0,2차 목적지
리홈쿠첸서비스센터/청주점,127.50122731090528,36.10015034144786,5,678.0833333333334,,,,0,2차 목적지
제이모텔,127.49682863286772,36.1008166030129,5,1328.0624999999998,,,,0,2차 목적지
진주남강유등축제/진주공설운동장 임시주차장1,127.49682863286772,36.1008166030129,5,794.1111111111111,,,,0,2차 목적지
채석강,127.50122731090528,36.10015034144786,5,388.43333333333334,,,,0,2차 목적지
논산명재고택,127.50122731090528,36.10015034144786,5,395.1,,,,0,2차 목적지
네파/청주사직점,127.49682863286772,36.1008166030129,5,729.2916666666667,,,,0,2차 목적지
패션아일랜드/대전점,127.498450423532,36.1029113681205,5,206.66666666666669,,,,0,2차 목적지
황토집사람들/[한식],127.49682863286772,36.1008166030129,5,612.5500000000001,,,,0,2차 목적지
발렌타인주점,127.50122731090528,36.10015034144786,5,655.5833333333334,,,,0,2차 목적지
바르비종베이커리카페,127.50122731090528,36.10015034144786,5,1069.7333333333331,,,,0,2차 목적지
무주덕유산리조트곤돌라,127.49682863286772,36.1008166030129,5,1142.375,,,,0,2차 목적지
장수고을,127.50122731090528,36.10015034144786,5,647.8666666666666,,,,0,2차 목적지
이본가,127.50122731090528,36.10015034144786,5,523.2833333333334,,,,0,2차 목적지
성락프라자,127.50122731090528,36.10015034144786,5,725.0666666666666,,,,0,2차 목적지
삼시세끼/[한식],127.50122731090528,36.10015034144786,5,452.8541666666667,,,,0,2차 목적지
보은대추축제,127.49682863286772,36.1008166030129,5,1431.1944444444443,,,,0,2차 목적지
복현종합시장,127.50122731090528,36.10015034144786,5,607.8541666666666,,,,0,2차 목적지
안동하회마을,127.50122731090528,36.10015034144786,5,716.6041666666667,,,,0,2차 목적지
안성시티호텔,127.50122731090528,36.10015034144786,5,301.6944444444444,,,,0,2차 목적지
영약국,127.50122731090528,36.10015034144786,5,382.35416666666663,,,,0,2차 목적지
에스에스가구,127.49682863286772,36.1008166030129,5,547.3833333333333,,,,0,2차 목적지
아우내본가순대,127.49682863286772,36.1008166030129,5,1211.0833333333333,,,,0,2차 목적지
쌍둥이네,127.496728371133,36.1009671338844,5,92.8611111111111,,,,0,2차 목적지
아지트,127.50122731090528,36.10015034144786,5,994.85,,,,0,2차 목적지
호텔오노마/대전,127.50122731090528,36.10015034144786,5,455.08333333333337,,,,0,2차 목적지
하나로마트/금산농협비호점,127.498094564583,36.1005729437636,5,94.38888888888889,,,,0,2차 목적지
구드래선착장,127.50122731090528,36.10015034144786,5,603.4000000000001,,,,0,2차 목적지
광성계량소,127.49682863286772,36.1008166030129,5,1130.2083333333335,,,,0,2차 목적지
고산미소시장,127.50122731090528,36.10015034144786,5,776.2708333333333,,,,0,2차 목적지
경하온천호텔,127.50122731090528,36.10015034144786,4,226.83333333333334,,,,0,2차 목적지
광성식당/[한식],127.50122731090528,36.10015034144786,4,390.68888888888887,,,,0,2차 목적지
고산미소한우/본점,127.49682863286772,36.1008166030129,4,913.8444444444444,,,,0,2차 목적지
홍유스파랜드,127.50122731090528,36.10015034144786,4,751.5555555555557,,,,0,2차 목적지
화성행궁,127.50122731090528,36.10015034144786,4,651.0,,,,0,2차 목적지
국립공주대학교/공주신관캠퍼스,127.49682863286772,36.1008166030129,4,103.83333333333331,,,,0,2차 목적지
광주식자재마트,127.50122731090528,36.10015034144786,4,463.2833333333333,,,,0,2차 목적지
굿타임모텔,127.50122731090528,36.10015034144786,4,542.45,,,,0,2차 목적지
